epoch,loss,elapsed
645,4.0659841230908499e-03,0.07172342
646,4.0586010215352807e-03,0.07182729
647,4.0503045141464722e-03,0.07192733
648,4.0412673207817582e-03,0.07202846
649,4.0299282688739581e-03,0.07212992
650,4.0168046175964277e-03,0.07223575
651,4.0085853189257246e-03,0.07233538
652,3.9981912035773936e-03,0.07243525
653,3.9878522718326485e-03,0.07253542
654,3.9807507714131876e-03,0.07263542
655,3.9737146314281794e-03,0.07273554
656,3.9656970447210253e-03,0.07283671
657,3.9558872464021755e-03,0.07293737
658,3.9488459869671186e-03,0.07303842
659,3.9427666387937153e-03,0.07314021
660,3.9375052935358415e-03,0.07324046
661,3.9223934880509561e-03,0.07334125
662,3.9145338420357514e-03,0.07344079
663,3.9066563652305581e-03,0.07354121
664,3.8945269602402755e-03,0.07364175
665,3.8884017973512550e-03,0.07374275
666,3.8739206966949824e-03,0.07384404
667,3.8678454438951116e-03,0.07394412
668,3.8561272068158656e-03,0.07405033
669,3.8462694097266144e-03,0.07415300
670,3.8344328878928912e-03,0.07425683
671,3.8281259651214510e-03,0.07436012
672,3.8165676168189053e-03,0.07446075
673,3.8055660680008643e-03,0.07456108
674,3.7913985783332082e-03,0.07466858
675,3.7770361396827377e-03,0.07476896
676,3.7674077596636423e-03,0.07486937
677,3.7572255821780465e-03,0.07497129
678,3.7455490620040676e-03,0.07507096
679,3.7345052786711868e-03,0.07517125
680,3.7317398050670859e-03,0.07527275
681,3.7225559521450059e-03,0.07537308
682,3.7178007637926145e-03,0.07547488
683,3.7100794052388822e-03,0.07557529
684,3.7000000200794782e-03,0.07568092
685,3.6951939268653213e-03,0.07582950
686,3.6851691315534238e-03,0.07593154
687,3.6781717838076113e-03,0.07603383
688,3.6695150614867410e-03,0.07613483
689,3.6625664153972027e-03,0.07623579
690,3.6533375083833176e-03,0.07633679
691,3.6433114310721001e-03,0.07643879
692,3.6377295761726245e-03,0.07654058
693,3.6292272956619919e-03,0.07664096
694,3.6193186664286877e-03,0.07674833
695,3.6107180643679313e-03,0.07684858
696,3.6000411381331690e-03,0.07694883
697,3.5912260779443869e-03,0.07704983
