epoch,frame,norm_fu,norm_fu_mg1,loss,walltime,memory,error_u,rel_error_u,residual_u,weight_pde,weight_mg
830,9,11.759445049331601,10.956297264629166,258.32499761917006,0.748727560043335,457.015625,0.06529096562882018,0.13486099214594693,11.724433398224603,1.0,1.0
840,9,11.49075847169899,10.777331555072061,248.1884057028741,0.7511799335479736,457.015625,0.06509062401367066,0.13444717886064825,11.503532176474662,1.0,1.0
850,9,11.962083015495324,10.89833204007698,261.8650713253702,0.7536144256591797,457.0625,0.0649104881100948,0.13407510124710129,12.12679167277342,1.0,1.0
860,9,11.076898712508237,10.45102578190925,231.9216249812985,0.7560489177703857,457.0625,0.06474891550784938,0.1337413668439942,11.228210699048395,1.0,1.0
870,9,10.869162360594435,10.275204859747534,223.71852533074212,0.7585058212280273,457.0625,0.06460599531056085,0.1334461596982828,10.867131674147432,1.0,1.0
880,9,11.409692797237474,10.066520805482847,231.5159308545517,0.760915994644165,457.078125,0.0644816465630439,0.13318931259392877,11.40453072312166,1.0,1.0
890,9,10.865183057020126,9.874898682685739,215.56582685586577,0.7633800506591797,457.078125,0.06437872423470992,0.13297672257968388,10.901080112754668,1.0,1.0
900,9,10.732199195394049,9.702170006663723,209.31220240782181,0.7658259868621826,457.078125,0.0642919891678311,0.13279756797444156,10.78654948722522,1.0,1.0
910,10,10.223535513613754,9.53863746935707,195.50628316994428,0.7687499523162842,477.71875,0.06422454833964984,0.1326582663587881,10.237640670190842,1.0,1.0
920,10,9.847588290449025,9.3813974741821,184.98561370677902,0.7713871002197266,477.828125,0.06417374470048219,0.1325533294947551,9.781609562047457,1.0,1.0
930,10,9.618959059153969,9.229281195545415,177.7040047681284,0.7739884853363037,477.828125,0.06414128769393748,0.1324862883036416,9.610065165191518,1.0,1.0
940,10,9.682071908630158,9.164953613513356,177.7388911817368,0.7764685153961182,477.984375,0.06412582165116158,0.1324543425994658,9.742977176515893,1.0,1.0
950,10,10.47102222240261,9.469335430326947,199.31061987409453,0.7789561748504639,478.0,0.06412509571757113,0.1324528431558093,10.125183759277668,1.0,1.0
960,10,10.067611130565316,8.9164155196824,180.85925959591583,0.7815289497375488,478.0,0.06414128146866771,0.13248627544510827,10.043145650559651,1.0,1.0
970,10,9.435611897666721,8.658775650241866,164.00516764461125,0.7840468883514404,478.0,0.06417317511465381,0.13255215299339404,9.437014579596926,1.0,1.0
980,10,9.17327809307259,8.510256186852292,156.57349133870318,0.7865748405456543,478.015625,0.06421881380452409,0.13264642145667788,9.121392743782911,1.0,1.0
990,10,8.826305116955252,8.374293658534375,148.03245629695954,0.7891004085540771,478.015625,0.06428029310648836,0.13277340931142148,8.791057615422329,1.0,1.0
1000,10,8.574018261727002,8.24489290032436,141.49204809024715,0.7915823459625244,478.015625,0.064355785683965,0.13292934212387264,8.562282992558757,1.0,1.0
