epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
320,4,0.031036077067255974,0.003999853041023016,0.005235027987509966,0.023256627842783928,0.026090560480952263,0.10513465851545334,0.11162181198596954,0.025740956887602806,37.67022895812988,438.09375,6.767432e-05,0.011235465,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
330,4,0.031229466199874878,0.0025576043408364058,0.0034248298034071922,0.02202812395989895,0.02499464340507984,0.06096307188272476,0.06462590396404266,0.009996524080634117,39.02467918395996,392.9375,3.7907645e-05,0.0115271695,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
340,4,0.031284675002098083,0.0017714747227728367,0.0018399662803858519,0.02039077877998352,0.02337489277124405,0.036527905613183975,0.0381527803838253,0.0047373464331030846,40.245376110076904,389.28125,1.993791e-05,0.011667084,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
350,4,0.03141673654317856,0.0008466888684779406,0.0010693749645724893,0.019311854615807533,0.022258412092924118,0.02156205289065838,0.02250012755393982,0.002828434342518449,41.382835149765015,401.234375,1.363391e-05,0.011685848,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
360,4,0.031502436846494675,0.0005359601927921176,0.0006790026091039181,0.018741201609373093,0.021623414009809494,0.013137237168848515,0.013512305915355682,0.0021671256981790066,42.526384353637695,423.875,8.0557575e-06,0.011662134,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
370,4,0.03154602646827698,0.00037629948928952217,0.0004169743333477527,0.018438220024108887,0.021254802122712135,0.00829646922647953,0.008062385953962803,0.001921035349369049,43.729501485824585,409.46875,4.08498e-06,0.011636874,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
380,4,0.03161156550049782,0.0002133794769179076,0.0003133324789814651,0.01827431283891201,0.021013669669628143,0.005846627987921238,0.004976059775799513,0.0018339039525017142,44.90324354171753,372.84375,2.7240706e-06,0.011625506,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
390,4,0.031650472432374954,0.00014394601748790592,0.00019706472812686116,0.018162691965699196,0.020832786336541176,0.004594853147864342,0.003238081932067871,0.0017972983187064528,46.0318169593811,366.890625,1.5373748e-06,0.011630539,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
400,4,0.031699202954769135,0.0003702449321281165,0.00013833396951667964,0.018077366054058075,0.020680319517850876,0.004012350924313068,0.002326743211597204,0.001780975260771811,47.1587610244751,377.34375,6.2989266e-06,0.011642575,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
410,5,0.013360080309212208,8.254593849182129,27.17481803894043,0.006466497667133808,0.007420125883072615,0.0015385779552161694,0.0011260773753747344,806.609375,48.29015636444092,357.265625,0.030983377,0.034924455,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
420,5,0.010796692222356796,4.623328685760498,13.751638412475586,0.006420736201107502,0.007393844425678253,0.0008363619563169777,0.0006166622042655945,210.4829559326172,49.41738271713257,365.984375,0.019304946,0.018036263,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
430,5,0.009564070031046867,2.19105863571167,7.586120128631592,0.006392193492501974,0.007372855208814144,0.0007019421900622547,0.0003724725975189358,62.35014724731445,50.544179916381836,382.1875,0.01154394,0.016747886,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
440,5,0.009314372204244137,0.9066160917282104,3.8603110313415527,0.006371844094246626,0.007354798726737499,0.0005369738792069256,0.00030642448109574616,15.724136352539062,51.882049322128296,349.203125,0.0060137385,0.01276769,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
450,5,0.009254159405827522,0.7802420854568481,2.4250874519348145,0.006353736389428377,0.007338390219956636,0.0005359795177355409,0.0002501060371287167,6.490007400512695,53.019612312316895,360.484375,0.0027433094,0.011945102,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
460,5,0.009241478517651558,0.5245526432991028,1.4512264728546143,0.006336675025522709,0.007322453893721104,0.0004515611217357218,0.00020969663455616683,2.3813931941986084,54.14829611778259,360.6875,0.0021260001,0.012012857,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
470,5,0.009242050349712372,0.2987004518508911,0.7396658658981323,0.006320639979094267,0.007306733168661594,0.0004774263652507216,0.00020697209401987493,0.6365066170692444,55.28533887863159,355.578125,0.0014910209,0.011777531,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
480,5,0.009242855943739414,0.1311528980731964,0.5051738619804382,0.0063053700141608715,0.00729126762598753,0.000478914356790483,0.00020895623310934752,0.2725803554058075,56.42285108566284,360.0,0.000861877,0.011910331,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
490,5,0.009254208765923977,0.08004327863454819,0.3244589567184448,0.006290818564593792,0.007276018615812063,0.00046758053940720856,0.0002079247497022152,0.11185897141695023,57.559202909469604,371.921875,0.00038473538,0.011849694,0.03921591583626327,25.387355153843124,71.10671047857626,0.0011929034415646658,1.184143403936819
500,5,0.009261569939553738,0.05321146547794342,0.17705391347408295,0.006276946514844894,0.00726090045645833,0.00047240685671567917,0.0002046947047347203,0.0343577079474926,58.697734355926514,371.640625,0.00022876603,0.011807297,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
510,6,0.010991740971803665,0.025107907131314278,0.10528161376714706,0.20798443257808685,0.21308496594429016,6.8360395431518555,6.928613662719727,94.83761596679688,59.823853492736816,368.75,0.000314898,0.011836467,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
