flow,K,sample,error
couette,20,11,0.0003438883800538738
couette,20,12,0.00019774191897822436
couette,20,13,0.007456799762192527
couette,20,14,0.00010084389963489242
couette,20,15,0.0005317874096786974
couette,20,16,0.0008921114309454827
couette,20,17,0.0003751349708561809
couette,20,18,0.00025263253294484963
couette,20,19,0.00048454641626870715
couette,24,0,0.00011245033266514074
couette,24,1,0.000275188725748017
couette,24,2,0.00034021684780182344
couette,24,3,0.0003531887137792472
couette,24,4,0.0003581057231072037
couette,24,5,0.0019482407074672705
couette,24,6,0.00018751703036566983
couette,24,7,0.0002539102701494951
couette,24,8,0.00023455883654909866
couette,24,9,8.819632180382436e-05
couette,24,10,0.0006223559926318217
couette,24,11,0.0001221717372196184
couette,24,12,0.0003508919038537935
couette,24,13,0.00014676724755474158
couette,24,14,0.00016178796397483806
couette,24,15,0.00012297791748056168
couette,24,16,0.00018516322714652372
couette,24,17,0.00015862344383950285
couette,24,18,0.00017619094944883564
couette,24,19,0.00030559444175550356
couette,29,0,0.0001175213438431954
couette,29,1,0.000178716100817643
couette,29,2,0.00017122927995979068
couette,29,3,0.00015120009869673513
couette,29,4,0.0002501344183534885
couette,29,5,0.00021562977020110385
couette,29,6,0.0002064754629072601
couette,29,7,0.00018379595994959664
couette,29,8,0.00037678973981691925
couette,29,9,0.000160526617719166
couette,29,10,0.0006136685681767994
couette,29,11,0.00022890209298150716
couette,29,12,0.0008058521289847939
couette,29,13,0.00023958873902543324
couette,29,14,0.0001370012688197066
couette,29,15,0.00016614890084376218
couette,29,16,0.00019673019498817458
couette,29,17,0.00018752523745389188
couette,29,18,0.00022879103585573244
couette,29,19,0.00026637162840301344
couette,35,0,0.00012275687314031302
couette,35,1,0.00010272841868824028
couette,35,2,0.00011459556130930139
couette,35,3,0.0001614492243925465
couette,35,4,0.00023626915467503542
couette,35,5,9.843088382172198e-05
couette,35,6,0.00015485499325699855
couette,35,7,0.00014283176805035818
couette,35,8,0.0002104244206763674
couette,35,9,0.0016944191009977357
couette,35,10,0.0003061398967595402
couette,35,11,0.00013134586080184815
couette,35,12,0.00014812830483729048
couette,35,13,0.0001026968820099997
couette,35,14,0.00016449477151529891
couette,35,15,0.00019215814821036022
couette,35,16,9.793274506407491e-05
couette,35,17,0.00016145890379873533
couette,35,18,0.00013067377527809236
couette,35,19,0.00010626597712214257
couette,40,0,0.00010265462459373193
couette,40,1,8.117685903235402e-05
couette,40,2,0.00015136206994908837
couette,40,3,0.00011080251490404812
couette,40,4,0.00011108918376432554
couette,40,5,0.00014618519935411537
couette,40,6,0.00019969072009750488
couette,40,7,0.00010760566743194327
couette,40,8,0.000220113629605549
couette,40,9,8.915124889427357e-05
couette,40,10,0.00015440550533271072
couette,40,11,0.00013713597926424704
couette,40,12,0.00013280049546989496
couette,40,13,0.00015266497654564784
couette,40,14,0.00011654453048806175
couette,40,15,0.00014253211141959356
couette,40,16,9.868696540238155e-05
couette,40,17,0.00010402070591042306
couette,40,18,0.0001394188488620749
couette,40,19,0.00011561317657040407
couette,45,0,8.845572111254711e-05
couette,45,1,0.00013359317979523582
couette,45,2,0.00014245685065174884
couette,45,3,0.05511716478149973
couette,45,4,0.00019002521447604296
couette,45,5,0.00011723743592512983
couette,45,6,7.811222105490032e-05
couette,45,7,9.063632009463979e-05
couette,45,8,0.00011157893442624323
couette,45,9,0.00020899992664395498
couette,45,10,0.0001205203506949411
couette,45,11,0.00014596574181627861
couette,45,12,0.00018266380753116147
couette,45,13,0.00018326404566824367
couette,45,14,0.00021749231927780467
couette,45,15,7.769339343846539e-05
couette,45,16,0.00010615166540730858
couette,45,17,0.0001117652315259943
couette,45,18,0.000232922522025554
couette,45,19,8.679744669198307e-05
couette,50,0,0.00010882246755235218
couette,50,1,0.00015665152863434181
couette,50,2,0.00016264213622534687
couette,50,3,0.000249277625666131
couette,50,4,0.00019353532684489094
couette,50,5,0.00018028781707714136
couette,50,6,9.645967411746101e-05
couette,50,7,0.0001852126539668672
couette,50,8,0.00019787797519836098
couette,50,9,7.818485101523901e-05
couette,50,10,0.00013934739969758482
couette,50,11,0.00021537790677460345
couette,50,12,0.00012386006205881837
couette,50,13,0.00031044756351585203
couette,50,14,0.00011612396888489584
couette,50,15,0.00012489195215914224
couette,50,16,0.00019222220209510126
couette,50,17,0.00013654514084347058
couette,50,18,0.00018430055773743516
couette,50,19,0.0002556927743966739
poiseuille,1,0,0.6462956833707851
poiseuille,1,1,0.7165375435505046
poiseuille,1,2,0.6451663719783296
poiseuille,1,3,0.6426428498134485
poiseuille,1,4,0.7769721182590906
poiseuille,1,5,0.33986017983035655
poiseuille,1,6,0.7773319765043306
poiseuille,1,7,0.5835563730466887
poiseuille,1,8,0.8161590314457366
poiseuille,1,9,0.8944562026617842
poiseuille,1,10,0.6970040782072313
poiseuille,1,11,0.6759861343299659
poiseuille,1,12,0.6546052763830359
poiseuille,1,13,0.8711882666443771
poiseuille,1,14,0.8242675073288651
poiseuille,1,15,0.631101148701229
poiseuille,1,16,0.8651691164506586
poiseuille,1,17,0.41106052044209285
poiseuille,1,18,0.6938692416480395
poiseuille,1,19,0.6418758385362926
poiseuille,2,0,0.33455211369707116
poiseuille,2,1,0.6551510833959238
poiseuille,2,2,0.5022191497449944
poiseuille,2,3,0.3066338221193062
poiseuille,2,4,0.1923214861843264
poiseuille,2,5,0.9235488277158035
poiseuille,2,6,0.8338715037579272
poiseuille,2,7,0.4225818666357388
poiseuille,2,8,0.6919493887998689
poiseuille,2,9,0.29833302616743307
poiseuille,2,10,0.20321909428362958
poiseuille,2,11,0.5948706832850795
poiseuille,2,12,0.2704747753659829
poiseuille,2,13,0.46108993146712773
poiseuille,2,14,0.3111887122452486
poiseuille,2,15,0.3868525316860355
poiseuille,2,16,1.006945184828637
poiseuille,2,17,0.6449391357889425
poiseuille,2,18,0.2341174522543064
poiseuille,2,19,0.4577420713408657
poiseuille,4,0,0.17257528311894066
poiseuille,4,1,0.11083359800370363
poiseuille,4,2,0.1932930648880499
poiseuille,4,3,0.09734857014643132
poiseuille,4,4,0.16922908380027712
poiseuille,4,5,0.056704289011172415
poiseuille,4,6,0.26865165480831366
poiseuille,4,7,0.22527101422445517
poiseuille,4,8,0.06581868262513144
poiseuille,4,9,0.21635850522738248
poiseuille,4,10,0.18704447204764824
poiseuille,4,11,0.1692027872593927
poiseuille,4,12,0.3871402192227335
poiseuille,4,13,0.0843731982306289
poiseuille,4,14,0.07756186984755402
poiseuille,4,15,0.10500376666125542
poiseuille,4,16,0.22965750577246483
poiseuille,4,17,0.3657587289338633
poiseuille,4,18,0.2463923868393162
poiseuille,4,19,0.1308926690437449
poiseuille,6,0,0.03780641099392787
poiseuille,6,1,0.05509748019837339
poiseuille,6,2,0.05007640343887675
poiseuille,6,3,0.0886048352760502
poiseuille,6,4,0.09870007365761943
poiseuille,6,5,0.13803458394245416
poiseuille,6,6,0.061323538359673926
poiseuille,6,7,0.0751981263204702
poiseuille,6,8,0.03711962034756396
poiseuille,6,9,0.0712200513610104
poiseuille,6,10,0.22981610129762325
poiseuille,6,11,0.07319584691445016
poiseuille,6,12,0.0287000413751958
poiseuille,6,13,0.10881414477633085
poiseuille,6,14,0.12029969738222823
poiseuille,6,15,0.03958453554157709
poiseuille,6,16,0.04445333976284885
poiseuille,6,17,0.04207177640457334
poiseuille,6,18,0.06226030489830979
poiseuille,6,19,0.03250422414652482
poiseuille,8,0,0.03136645591741749
poiseuille,8,1,0.026843241178352434
poiseuille,8,2,0.052406800564757966
poiseuille,8,3,0.034810841207795276
poiseuille,8,4,0.029775383762890153
poiseuille,8,5,0.034605836545028516
poiseuille,8,6,0.02246985779109094
poiseuille,8,7,0.03260002803568959
poiseuille,8,8,0.027233659720296965
poiseuille,8,9,0.05203650613619111
poiseuille,8,10,0.03795694902293127
poiseuille,8,11,0.01571079533733635
poiseuille,8,12,0.029794076073023576
poiseuille,8,13,0.013900560381107062
poiseuille,8,14,0.053773942655811126
poiseuille,8,15,0.023413305011405136
poiseuille,8,16,0.032867552219134476
poiseuille,8,17,0.03574744361655701
poiseuille,8,18,0.047727551435417265
poiseuille,8,19,0.02623624978883911
poiseuille,10,0,0.01892051602279496
poiseuille,10,1,0.016638850178283034
poiseuille,10,2,0.03239449570447411
poiseuille,10,3,0.023534448267621126
poiseuille,10,4,0.030593673059691188
poiseuille,10,5,0.03140192393694932
poiseuille,10,6,0.020829816882750186
poiseuille,10,7,0.025726121099211584
poiseuille,10,8,0.01877469864706661
poiseuille,10,9,0.025458831051400718
poiseuille,10,10,0.016017160755842884
poiseuille,10,11,0.025673644914717388
poiseuille,10,12,0.01989776796388875
poiseuille,10,13,0.032032322141556394
poiseuille,10,14,0.017113267442784866
poiseuille,10,15,0.039548051694831374
poiseuille,10,16,0.024068847367104233
poiseuille,10,17,0.03621559875179861
poiseuille,10,18,0.019848512782870663
poiseuille,10,19,0.016378614487507034
poiseuille,12,0,0.011782492431790786
poiseuille,12,1,0.0168334168579095
poiseuille,12,2,0.012448785384304481
poiseuille,12,3,0.020795986661180044
poiseuille,12,4,0.012652824388487471
poiseuille,12,5,0.023979487191283226
poiseuille,12,6,0.011201287324932478
poiseuille,12,7,0.027938443740501542
poiseuille,12,8,0.015309029913288077
poiseuille,12,9,0.023099327505200745
poiseuille,12,10,0.013671643680362194
poiseuille,12,11,0.022298054397869083
poiseuille,12,12,0.010955116763537106
poiseuille,12,13,0.027895792267854654
poiseuille,12,14,0.013708993443491201
poiseuille,12,15,0.018227366963299158
poiseuille,12,16,0.017857070904519316
poiseuille,12,17,0.03662373183240025
poiseuille,12,18,0.013934964921451968
poiseuille,12,19,0.031739133459038324
poiseuille,16,0,0.010003468007651464
poiseuille,16,1,0.006660371219229973
poiseuille,16,2,0.00696116484134685
poiseuille,16,3,0.008221166622185387
poiseuille,16,4,0.014300221778523524
poiseuille,16,5,0.014112685395026726
poiseuille,16,6,0.013473006525402427
poiseuille,16,7,0.007454026834471791
poiseuille,16,8,0.027702746907613093
poiseuille,16,9,0.0066552142408163595
poiseuille,16,10,0.007559615045530027
poiseuille,16,11,0.009495760909778144
poiseuille,16,12,0.021096028247102938
poiseuille,16,13,0.011885715400046184
poiseuille,16,14,0.00911870133814004
poiseuille,16,15,0.00688524917302199
poiseuille,16,16,0.00864444695637533
poiseuille,16,17,0.008127352551254116
poiseuille,16,18,0.02368972364565377
poiseuille,16,19,0.013377846861341084
poiseuille,20,0,0.012522643985056873
poiseuille,20,1,0.00952448452276992
poiseuille,20,2,0.005017965116533529
poiseuille,20,3,0.007467753668878903
poiseuille,20,4,0.004333602330193354
poiseuille,20,5,0.006395139278918967
poiseuille,20,6,0.006161318748662531
poiseuille,20,7,0.018595551952618354
poiseuille,20,8,0.005290198904090617
poiseuille,20,9,0.021112589930023427
poiseuille,20,10,0.014331696148690334
poiseuille,20,11,0.0073241800974487735
poiseuille,20,12,0.014671528634912378
poiseuille,20,13,0.008257187407842734
poiseuille,20,14,0.005652132527188744
poiseuille,20,15,0.005296737013190051
poiseuille,20,16,0.006330765655888048
poiseuille,20,17,0.009296676336588008
poiseuille,20,18,0.023150043191814573
poiseuille,20,19,0.0047377925179671035
poiseuille,24,0,0.006176270694671914
poiseuille,24,1,0.007478430914989656
poiseuille,24,2,0.00693865503817411
poiseuille,24,3,0.007326725773815561
poiseuille,24,4,0.006944274366425664
poiseuille,24,5,0.005241067482989903
poiseuille,24,6,0.004879008184997117
poiseuille,24,7,0.006188318762733451
